Cycle ID,Cap_Chg(mAh),Cap_DChg(mAh),Specific Capacity-Chg(mAh/g),Specific Capacity-Dchg(mAh/g),Chg/DChg Efficiency(%),Engy_Chg(mWh),Engy_DChg(mWh),REngy_Chg(mWh/g),REngy_Dchg(mWh/g),CC_Chg_Ratio(%),CC_Chg_Cap(mAh),Plat_Cap(mAh),Plat_Capacity Density(mAh/g),Plat_Cap_Efficiency(%),Plat_Time(sec),Capacity_Chg(F),Capacity_DChg(F),IR(O),Mid_value Voltage(V),Discharge Fading Ratio(%),Charge Time(sec),Discharge Time(sec),Charge IR(O),Discharge IR(O),End Temperature(°C),Net Cap_DChg(mAh),Net Engy_DChg(mWh),Energy Efficiency(%),
,Step ID,Step Name,Step Time(sec),Capacity(mAh),Capacity Density(mAh/g),Energy(mWh),CmpEngergy(mWh/g),Capacitance(F),Start Voltage(V),End Voltage(V),Start Temperature(°C),End Temperature(°C),End Capacity(mAh),Charge Mid-Vol(V),Discharge Mid-Vol(V),DCIR(O),ChargeCap(mAh),DischargeCap(mAh),Engy_Chg(mWh),Engy_DChg(mWh),Net DischargeCap(mAh),Net Engy_DChg(mWh),Raw Step ID,
,,Record ID,Time(sec),Voltage(V),Current(mA),Temperature(°C),Capacity(mAh),Capacity Density(mAh/g),Energy(mWh),CmpEng(mWh/g),Realtime,Min-T(°C),Max-T(°C),Avg-T(°C),Power(mW),Capacitance_Chg(mAh),Capacitance_DChg(mAh),Engy_Chg(mWh),Engy_DChg(mWh),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact IR(O),
1,0.0024,0.0021,1.9119,1.6693,87.313,0.0034,0.0016,2.7007,1.3019,100.00,0.0024,0.0000,0.0000,0.00,0.00,0.00000,0.00000,0.000,0.6491,100.00,68.80,60.10,3485.991,84.907,0.0,-0.0003,-0.0018,48.207,
,1,CC_Chg,68.80,0.0024,1.9119,0.0034,2.7007,0.00000,0.4392,2.0005,0.0,0.0,0.0024,1.5587,0.0000,3485.991,0.0024,0.0000,0.0000,0.0000,-0.0024,-0.0340,1,
,,1,0.00,0.4392,0.126,0.0,0.0000,0.0000,0.0000,0.0000,05/03/2022 12:17:50,,,,0.06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3485.991,
,,2,2.40,0.5437,0.126,0.0,0.0001,0.0667,0.0000,0.0327,05/03/2022 12:17:53,,,,0.07,0.0001,0.0000,0.0000,0.0000,0.0008,0.6382,4313.368,
,,3,4.90,0.6463,0.126,0.0,0.0002,0.1362,0.0001,0.0742,05/03/2022 12:17:55,,,,0.08,0.0002,0.0000,0.0001,0.0000,0.0009,0.6771,5127.330,
,,4,7.60,0.7490,0.126,0.0,0.0003,0.2112,0.0002,0.1268,05/03/2022 12:17:58,,,,0.09,0.0003,0.0000,0.0002,0.0000,0.0009,0.7306,5942.086,
,,5,10.40,0.8497,0.126,0.0,0.0004,0.2890,0.0002,0.1891,05/03/2022 12:18:01,,,,0.11,0.0004,0.0000,0.0002,0.0000,0.0010,0.7727,6740.976,
,,6,13.40,0.9517,0.126,0.0,0.0005,0.3724,0.0003,0.2643,05/03/2022 12:18:04,,,,0.12,0.0005,0.0000,0.0003,0.0000,0.0010,0.8173,7550.179,
,,7,16.60,1.0531,0.126,0.0,0.0006,0.4613,0.0004,0.3537,05/03/2022 12:18:07,,,,0.13,0.0006,0.0000,0.0004,0.0000,0.0011,0.8770,8354.621,
,,8,20.20,1.1545,0.126,0.0,0.0007,0.5613,0.0006,0.4644,05/03/2022 12:18:10,,,,0.15,0.0007,0.0000,0.0006,0.0000,0.0012,0.9866,9159.064,
,,9,23.90,1.2552,0.126,0.0,0.0008,0.6641,0.0007,0.5883,05/03/2022 12:18:14,,,,0.16,0.0008,0.0000,0.0007,0.0000,0.0013,1.0210,9957.953,
,,10,27.70,1.3566,0.126,0.0,0.0010,0.7697,0.0009,0.7264,05/03/2022 12:18:18,,,,0.17,0.0010,0.0000,0.0009,0.0000,0.0013,1.0414,10762.396,
